High,Open,Low,Close,Weighted_Price,Volume_BTC,Volume_Currency
10128.88,10124.9,10119.72,10119.72,10126.831,1.00510697,10178.54842
10126.54,10126.44,10119.72,10126,10124.71012,0.10847921,1098.320555
10136.61,10126,10126,10136.61,10132.29624,2.23792388,22675.30771
10136.51,10136.4,10125.43,10125.43,10135.26184,0.01704955,172.8016534
10135.89,10125.43,10125.43,10135.89,10127.74411,0.05669702,574.2129101
10135.66,10135.66,10135.66,10135.66,10135.66,0.00739598,74.96313865
10137.8,10135.8,10129.41,10137.8,10133.92124,0.20495552,2077.003097
10141.23,10137.8,10129.41,10129.41,10138.94235,0.22515562,2282.839852
10138.1,10129.41,10129.41,10129.41,10133.45753,0.02679376,271.513429
10138.47,10138.47,10138.47,10138.47,10138.47,0.03898245,395.2223999
10141.3,10137.9,10129.41,10141.13,10140.80385,0.58924646,5975.43277
10141.59,10128.86,10128.86,10141.56,10130.6104,0.09647387,977.3391911
10138,10128.87,10128.87,10138,10137.47331,0.29611638,3001.871898
10138,10138,10130.35,10138,10137.98212,2.2293175,22600.78096
10138,10138,10121.86,10134.02,10131.61884,0.0534651,541.6880144
10141.61,10133.55,10121.86,10141.61,10133.97149,0.38004314,3851.346347
10140.92,10140.92,10127.86,10127.86,10133.50484,0.01549906,157.0597995
10121.96,10121.86,10121.86,10121.96,10121.9598,4.008,40568.81488
10124.91,10124.86,10123.11,10124.91,10123.22883,2.05077888,20758.02011
10127.86,10127.86,10124.36,10127.86,10124.49786,0.09355776,947.2253405
10129,10127.86,10127.68,10129,10127.68495,0.94931405,9614.35362
10129,10127.68,10127.68,10129,10128.15088,0.00783233,79.32701997
